"date","state","city","address","num_killed","num_injured","lat","long","num_casualties"
"October 13, 2018","Missouri","Saint Louis","400 block of Midlothian Road",0,4,38.6270025,-90.1994042,4
"October 13, 2018","Texas","Taft","511 Wilburn St",4,1,27.9789074,-97.3986041,5
"October 12, 2018","South Carolina","Spartanburg","1620 John B White Sr Blvd",0,6,34.9495672,-81.9320482,6
"October 12, 2018","Nevada","Las Vegas","6500 block of W Charleston Blvd",0,4,36.1699412,-115.1398296,4
"October 8, 2018","Alabama","Birmingham","Joppa Ave",0,4,33.5185892,-86.8103567,4
"October 6, 2018","Oklahoma","Tulsa","9453 E 31st St",0,4,36.1539816,-95.992775,4
"October 6, 2018","Texas","Houston","6802 Cullen Blvd",1,3,29.7604267,-95.3698028,4
"October 6, 2018","California","Oakland","Williams St and Telegraph Ave",0,6,37.8043637,-122.2711137,6
"October 4, 2018","New Mexico","Espanola (Española)","1813 N Riverside Dr",1,3,35.9910383,-106.0818233,4
"October 4, 2018","Georgia","Swainsboro","Lucky St",0,4,32.5973856,-82.3337376,4
"October 3, 2018","Pennsylvania","Philadelphia","5101 Germantown Ave",1,4,39.9525839,-75.1652215,5
"October 3, 2018","South Carolina","Florence","932 Ashton Dr",2,6,34.1954331,-79.7625625,8
"October 1, 2018","Illinois","Chicago","500 block of S Michigan Ave",2,2,41.8781136,-87.6297982,4
"September 30, 2018","California","Compton","200 block N Long Beach Blvd",1,3,33.8958492,-118.2200712,4
"September 29, 2018","Florida","Orlando","1700 block of 24th St",1,4,28.5383355,-81.3792365,5
"September 28, 2018","Pennsylvania","Philadelphia","5100 block of Haverford Ave",2,2,39.9525839,-75.1652215,4
"September 24, 2018","Tennessee","Memphis","1528 Ragan St",3,2,35.1495343,-90.0489801,5
"September 23, 2018","California","Bakersfield","2600 block of Chandler Court",1,4,35.3732921,-119.0187125,5
"September 23, 2018","California","Baldwin Park","3700 block of Loma Lane",0,4,34.0852868,-117.9608978,4
"September 22, 2018","District of Columbia","Washington","1800 block of Benning Rd",0,4,38.9071923,-77.0368707,4
"September 22, 2018","New York","Hempstead","Dolan St",0,4,40.7062128,-73.6187397,4
"September 20, 2018","Maryland","Aberdeen","1501 Perryman Rd",4,3,39.5095556,-76.1641197,7
"September 20, 2018","New York","Syracuse","1317 Midland Ave",0,5,43.0481221,-76.1474244,5
"September 19, 2018","Wisconsin","Middleton","1850 Deming Way",1,4,43.0972174,-89.5042876,5
"September 19, 2018","Illinois","Chicago","W Cermak Rd and S State St",0,4,41.8781136,-87.6297982,4
"September 19, 2018","Pennsylvania","Masontown","1 E Church St",1,4,39.8467433,-79.8997755,5
"September 18, 2018","Louisiana","New Orleans (Algiers)","1100 block of Sumner St",0,4,29.9220105,-90.0139908,4
"September 18, 2018","Tennessee","Memphis","4622 Faronia Rd",0,4,35.1495343,-90.0489801,4
"September 17, 2018","Maryland","Silver Spring","123 Amberleigh Dr",4,1,38.9906657,-77.026088,5
"September 15, 2018","Wisconsin","Milwaukee","820 S 21st St",0,4,43.0389025,-87.9064736,4
"September 12, 2018","California","Bakersfield","660 Manwell Blvd",6,0,35.3732921,-119.0187125,6
"September 11, 2018","Illinois","Chicago","10600 block of S Bensley Avenue",0,4,41.8781136,-87.6297982,4
"September 10, 2018","Tennessee","Memphis","140 Lt George W Lee Ave",0,5,35.1495343,-90.0489801,5
"September 9, 2018","Alabama","Auburn","224 W Magnolia St",1,4,32.6098566,-85.4807825,5
"September 9, 2018","Florida","Jacksonville","N/A",0,4,30.3321838,-81.655651,4
"September 9, 2018","Illinois","Elgin","550 S McLean Blvd",1,3,42.0354084,-88.2825668,4
"September 7, 2018","Minnesota","Minneapolis","2024 N Washington Ave",1,3,44.977753,-93.2650108,4
"September 6, 2018","Ohio","Cincinnati","511 Walnut St",4,2,39.1031182,-84.5120196,6
"September 4, 2018","Georgia","Albany","1200 block of Gillespie Ave",0,4,31.5785074,-84.155741,4
"September 2, 2018","Arkansas","Fort Smith","801 Garrison Ave",0,4,35.3859242,-94.3985475,4
"September 2, 2018","Texas","San Antonio","600 block of Morningview St",0,4,29.4241219,-98.4936282,4
